route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
66-206,8846-dee52bde,Marcellin College,34,0.24944497297294826,0.43333333333333335
66-206,8848-09becb01,Pah Road,35,0.23883228426612196,0.43333333333333335
66-206,8850-582e9994,Crown Street,36,0.2116500236483444,0.36666666666666664
66-206,8852-6ff99666,Stop C Royal Oak,37,0.21247962273839238,0.4
66-206,1836-1fbc7198,Mount Albert Road,38,0.5031695645186054,0.8666666666666667
66-206,1834-d4ab9f0c,Onehunga Mall,39,0.7231063793757179,1.2333333333333334
66-206,1832-b498fc69,Mount Smart Road/Moana Avenue,40,0.44718866951970254,0.7833333333333333
66-206,8382-ce17835f,Curzon Street,41,0.32499797973348116,0.5666666666666667
66-206,8384-86599fdb,Te Papapa School,42,0.4806862963244482,0.8333333333333334
66-206,8268-53e221b8,Mt Smart Road/Rockfield Road,43,0.41306731423439347,0.7166666666666667
66-206,8179-17e3d76f,Maurice Road,44,0.3305745009581074,0.5833333333333334
66-206,8177-8c8a0649,Olive Road,45,0.3025475462771211,0.5666666666666667
66-206,7997-35d9ad1e,Penrose Station/Station Road,46,0.21799056674265582,0.75
66-206,1855-13190b1f,29 Station Road,47,0.200364918045803,1.7666666666666666
66-206,7624-2916a36b,Penrose Station/Great South Road,48,0.2685800599285131,1.2166666666666666
66-206,1856-c3d00f12,Prescott Street,49,0.5566926360968044,1.7833333333333334
66-206,1022-f667c7a2,Rydal Drive,50,0.5347335647920003,1.6833333333333333
66-206,7688-8a3483d3,Spooner Lane,51,0.5846161778102305,2.0166666666666666
66-206,7698-f2039157,Jarman Road,52,0.6055155007839187,2.2
66-206,7811-a46a29b9,Longford Street,53,0.322425699417108,1.5833333333333333
66-206,7238-8cbd6ca4,Stop A Sylvia Park,54,,
995-203,4593-de6f7542,Percy Street,1,0.7687674557070556,0.0
995-203,4591-c45b041b,Walton Avenue,2,1.269025026678562,3.0
995-203,4517-0518976d,Stop A Warkworth Community Transport Hub,3,25.786543168137072,27.0
995-203,4982-1f78709d,Stop B Hibiscus Coast,4,,
394-203,2850-3422d278,Pukekohe Station,1,0.5265184844700573,1.2166666666666666
