route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
101-202,8003-2ea7e096,Johnstone Street,25,-36.85444,174.70408,1.8731884057971016,0.2159137454605236
101-202,8001-8ded30b5,Coyle Park,26,-36.85277,174.70416,2.183333333333333,0.20664546281511023
101-202,1096-83f5e701,University of Auckland,27,-36.85324,174.77074,,
105-202,1005-c105552e,Stop D Lower Albert,1,-36.84353,174.76571,1.7563030303030303,0.42808926219458965
105-202,7030-621caa72,Victoria Street West,2,-36.84762,174.76188,1.0392121212121213,0.28006759690734273
105-202,7082-6e0c4fef,St Matthews-in-the-City,3,-36.85056,174.76061,1.0104848484848485,0.32675162840240557
105-202,7084-4da5d2dd,Nicholas Street,4,-36.85275,174.75929,1.0993333333333333,0.3257750603097461
105-202,1524-2e7e0ebb,YMCA,5,-36.85574,174.75885,1.2799393939393937,0.30034722144014164
105-202,7134-3cc678cc,Rainbow Bridge/Karangahape Road,6,-36.85829,174.75606,1.1383030303030304,0.29886060710701806
105-202,7212-9f5ed9ad,Ponsonby Road/Karangahape Road,7,-36.85936,174.75195,1.1306666666666667,0.3445044974115978
105-202,7214-56f7c5db,Ponsonby Road/Western Park,8,-36.85766,174.74882,0.7062424242424242,0.24552494803637495
105-202,8076-bf09e8e8,Ponsonby Road/Picton Street,9,-36.85665,174.74638,1.0683030303030303,0.36784905106401755
105-202,8078-49d5c84a,Leighton Street,10,-36.85716,174.74266,0.7841818181818182,0.29556275815840705
105-202,1024-e293ba7b,Richmond Road School,11,-36.85683,174.74017,0.5144242424242425,0.18861522440184883
105-202,8082-7fa03888,Richmond Road Shops,12,-36.85556,174.73909,1.1573333333333333,0.4014090349640081
105-202,8084-a238ebb0,St Paul's College,13,-36.854,174.73518,0.8472121212121212,0.2876597794682144
105-202,8086-08f33bb4,Woolworths Grey Lynn,14,-36.85471,174.73169,0.6306060606060607,0.21324804756320553
105-202,8088-00d7c4d9,Peel Street,15,-36.85586,174.73009,1.0378181818181818,0.3609960002618582
105-202,8090-9333fd33,West Lynn Shops,16,-36.85926,174.73189,0.7566060606060606,0.2696247839961065
105-202,1704-5d92960c,Surrey Crescent,17,-36.8614,174.733,0.7625454545454545,0.2562222637445926
105-202,8481-cdeaf2cc,Surrey Crescent/Old Mill Road,18,-36.86337,174.73035,1.767818181818182,0.335203040278928
105-202,8484-58711f06,Francis Street,19,-36.86253,174.72679,2.0632121212121213,0.3302203503072558
105-202,8483-f30d8856,Garnet Road/Old Mill Road,20,-36.8611,174.72457,1.881878787878788,0.3221222724937654
105-202,8485-c433a927,Westmere School,21,-36.85909,174.72344,1.4928484848484849,0.2740860577653241
105-202,8487-00f3da3d,Dorset Street,22,-36.85683,174.72133,1.684181818181818,0.3282817071708919
105-202,8491-4c2b3c12,Westmere Shops,23,-36.85452,174.71868,2.014121212121212,0.3412578876594835
105-202,8493-d8c9215b,Kotare Avenue,24,-36.85232,174.71981,2.3836969696969694,0.4438655015106636
105-202,8495-d8b98d40,Cox's Bay Reserve,25,-36.85154,174.72348,,
106-202,1005-c105552e,Stop D Lower Albert,1,-36.84353,174.76571,3.1157738095238092,0.643147648204985
106-202,7102-64738f72,Hobson Street,2,-36.84784,174.76089,0.750297619047619,0.17902226414936392
106-202,7104-7f5cd349,Graham Street,3,-36.84791,174.75888,1.3979166666666667,0.364473283382317
