route_id,stop_id,stop_name,stop_sequence
11W-202,1599-7b11ac3b,Stop B Westgate,39
11W-202,5991-fe74ede0,Tawhia Drive/Rotu Drive,40
11W-202,5941-0575e04d,NorthWest Shopping Centre,41
733-221,6233-47eb8987,Stop B Botany Town Centre,1
733-221,6235-4b507972,Paradice Ice Skating,2
733-221,6053-7d5d39dd,Botany Super Clinic,3
733-221,1908-6214e02f,Vesca Place,4
733-221,1925-d508c3ea,Bernie Edwards Place,5
733-221,1903-4edd24c6,Bradbury Road,6
733-221,6213-40c53071,Amerce Place,7
733-221,6211-83e50e21,Aviemore Drive/Lloyd Elsmore Park,8
733-221,6377-d7ce1d35,Aviemore Drive/Highland Park Drive,9
733-221,2076-0efd73fd,Woolworths Highland Park,10
733-221,6249-5d2e6499,Aberfeldy Avenue/Pakuranga Road,11
733-221,6071-b9f62d00,Highland Park Pakuranga Road,12
733-221,2031-74bbe589,Tangelo Place,13
733-221,6159-80d41e30,Gills Road,14
733-221,6195-4206438c,Bucklands Beach Road,15
733-221,2101-d62c3095,Wycherley Drive,16
733-221,6193-05bc34d8,Macleans Road,17
733-221,6993-3239d657,Macleans Road/Macleans College,18
733-221,6157-c3fe642e,Oliver Road,19
733-221,6155-7b0a5330,Sea Spray Drive,20
733-221,1919-5766eadd,Vivian Wilson Drive,21
733-221,6153-acf65b21,Whitcombe Road,22
733-221,1931-79980844,Waller Avenue,23
733-221,6163-4f9afca8,Bucklands Beach School,24
94-203,3381-6ba5b057,Stop C Takapuna,1
94-203,3630-18b4c142,Barrys Point Road,2
94-203,4448-e18b593b,Des Swann Drive,3
94-203,4085-bb8679ba,Stop E Akoranga,4
94-203,4320-36286cb3,AUT North Shore Gate 2,5
94-203,3931-9ff77eb6,AUT North Shore Gate 1,6
94-203,3933-6c317424,Kitewao Street,7
94-203,4231-19b488a1,Akoranga Drive/Onewa Domain,8
94-203,3935-0278f1bd,Lindisfarne Reserve,9
94-203,3937-0726d5c2,Northcote Intermediate School,10
94-203,3941-52831690,Stop D Northcote,11
94-203,3943-bba77648,Exmouth Road,12
94-203,3945-d39d8f87,Kororo Street,13
94-203,3947-7706b346,Kawana Street,14
94-203,4074-7874377f,Northcote Primary School,15
94-203,4076-af729862,St Mary's Catholic Church,16
94-203,4078-48253b25,Onewa Road/Northcote College,17
94-203,4080-a0eeb155,Park Avenue,18
94-203,4082-99e2cd3a,Aorangi Place,19
94-203,4084-21e50969,Birkenhead Avenue,20
94-203,3901-2273ccaa,Highbury Shops,21
94-203,4106-08f45c4d,Birkenhead Square,22
