route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
24B-202,8301-bf7e5325,Sandringham Road/Kingsland Station,33,-36.87282,174.74398,1.85,0.664662663273815
24B-202,8207-92af29ca,King Street,34,-36.86977,174.74881,0.6666666666666666,0.23770731493496616
24B-202,8205-eda192d2,George Street,35,-36.86878,174.75103,1.85,0.6576440831009744
24B-202,8203-432ece34,Mount Eden,36,-36.86635,174.75748,0.75,0.27017166563787165
24B-202,8201-82996d6d,Mount Eden Road,37,-36.8654,174.76007,1.0833333333333333,0.3827863445540832
24B-202,7151-93995941,Symonds Street/Upper Symonds Street,38,-36.86231,174.76132,1.7666666666666666,0.6281816162641961
24B-202,7149-6d6d1e99,Symonds Street/Karangahape Road,39,-36.85741,174.76449,1.0666666666666667,0.38395969152056186
24B-202,7143-d5592a9b,Stop D Auckland Universities,40,-36.85494,174.76725,0.8333333333333334,0.5937629478457965
24B-202,7006-35b88bbe,Lorne Street,41,-36.85107,174.76496,1.6833333333333333,0.35531606711067526
24B-202,7040-82504c06,Wellesley Street/Hobson Street,42,-36.85004,174.76129,0.85,0.2336222880608295
24B-202,1090-90cb0d20,Nelson Street,43,-36.84935,174.75892,1.0,0.36032348829705213
24B-202,7105-dec99d20,Dock Street,44,-36.84805,174.75703,,
24R-202,5908-eb576903,Stop B New Lynn,1,-36.90925,174.68369,2.4833333333333334,1.1149867967624394
24R-202,8459-e284241a,Olympic Park,2,-36.90989,174.69356,0.8,0.362081691932526
24R-202,8457-dfa4dce9,Miranda Street,3,-36.90829,174.69688,0.9,0.4006483202744575
24R-202,8453-61dfb93f,Wolverton Street/Blockhouse Bay Road,4,-36.90645,174.7006,0.8833333333333333,0.4053367733985686
24R-202,8452-da22a3f6,Pinewood Street,5,-36.90578,174.70474,0.9166666666666666,0.4134394380569047
24R-202,8454-bcebeef5,Whitney Street,6,-36.9055,174.70924,0.7666666666666667,0.342600039797452
24R-202,8276-890e673f,New Windsor Road/Tiverton Road,7,-36.90616,174.71261,0.5,0.22863679259238892
24R-202,8272-f1e34985,New Windsor School,8,-36.90687,174.71455,0.75,0.3337952554397662
24R-202,8274-e1c68f23,Roseville Street,9,-36.90605,174.71815,0.75,0.34383919176999506
24R-202,8931-c5f77a1f,Christ The King School,10,-36.90481,174.72085,1.15,0.5178204903939515
24R-202,8927-bdd7f71d,Richardson Road/Motorway Bridge,11,-36.90045,174.71973,0.9166666666666666,0.40943662333930264
24R-202,8925-a93ec3b4,Hendon Avenue,12,-36.8973,174.71793,1.0833333333333333,0.48846998075338394
24R-202,8811-015d3248,Richardson Road,13,-36.89495,174.71748,0.7666666666666667,0.34194707323090257
24R-202,8813-955bd47c,Owairaka Avenue/Owairaka Park,14,-36.89513,174.72108,0.5166666666666667,0.23804368242282023
24R-202,8815-0c5070d4,Owairaka Avenue/Owairaka Park,15,-36.89459,174.72355,0.6666666666666666,0.3017485607494014
24R-202,8817-9779df2b,Owairaka Avenue/Owairaka Avenue Shops,16,-36.89392,174.72671,0.7333333333333333,0.3280775248524168
24R-202,8822-b79a9810,Beagle Avenue,17,-36.89505,174.72975,0.3333333333333333,0.15254010784976588
24R-202,8824-7fe17f63,Duncan Avenue,18,-36.89571,174.73108,0.6833333333333333,0.3101305045090593
24R-202,8319-3c7b008d,Mount Albert Road,19,-36.89656,174.73378,0.6333333333333333,0.2784926652557405
24R-202,8317-0c5b8357,Parry Street,20,-36.89451,174.73535,0.7666666666666667,0.34888021904004524
24R-202,8315-8e4a4fc4,Sandringham Shops,21,-36.89177,174.73623,0.8166666666666667,0.28622884951559996
24R-202,8313-ec0c55f5,Edendale Reserve,22,-36.88937,174.73701,0.7166666666666667,0.25280688949839797
24R-202,8311-b71de2f3,Edendale Primary School,23,-36.88726,174.73769,0.5,0.17731339587089354
24R-202,8309-1ce9e07a,Sandringham Road/St Lukes Road,24,-36.88582,174.73815,0.9333333333333333,0.3299219260133778
24R-202,8307-a591b7dd,Aroha Avenue,25,-36.88303,174.73906,0.9,0.3185030182236558
24R-202,8305-8a132c54,Gribblehirst Park,26,-36.88034,174.73992,0.7333333333333333,0.26069743125418926
24R-202,8303-c5b65162,Ward Terrace,27,-36.87817,174.7406,1.1333333333333333,0.40651204849665223
24R-202,7167-b935b369,Eden Park,28,-36.87474,174.74174,0.8833333333333333,0.31150124641527815
24R-202,8301-bf7e5325,Sandringham Road/Kingsland Station,29,-36.87282,174.74398,1.85,0.664662663273815
24R-202,8207-92af29ca,King Street,30,-36.86977,174.74881,0.6666666666666666,0.23770731493496616
24R-202,8205-eda192d2,George Street,31,-36.86878,174.75103,1.85,0.6576440831009744
24R-202,8203-432ece34,Mount Eden,32,-36.86635,174.75748,0.75,0.27017166563787165
24R-202,8201-82996d6d,Mount Eden Road,33,-36.8654,174.76007,1.0833333333333333,0.3827863445540832
24R-202,7151-93995941,Symonds Street/Upper Symonds Street,34,-36.86231,174.76132,1.7666666666666666,0.6281816162641961
